ID,RAJ2000,DEJ2000,w1,w1_err,h,h_err,k,k_err,Halpha_type,objtype_Hou,objtype_SIMBAD,Fe_type,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag
J060319.75+220709.1,90.832295,22.119205,14.683,0.035,15.024,0.099,14.807,0.101,II,CBe,,,20.235,0.049,18.36,0.007,16.98,0.01,17.3,0.01,16.66,0.01,15.519,15.024,14.807,0.064,0.099,0.101
J060602.58+221224.1,91.510771,22.206697,14.212,0.031,14.624,0.049,14.445,0.051,II,CBe,,,18.633,0.018,16.835,0.004,15.99,0.01,16.16,0.0,15.63,0.01,14.802,14.624,14.445,0.036,0.049,0.051
J061130.31+252318.6,92.876294,25.388514,14.742,0.039,14.843,0.055,14.843,0.077,II,CBe,,,18.192,0.015,16.598,0.004,16.0,0.01,16.15,0.0,15.7,0.01,15.051,14.843,14.843,0.037,0.055,0.077
J061139.78+250846.6,92.915782,25.146305,15.118,0.042,15.164,0.071,15.033,0.09,II,CBe,,,18.452,0.016,16.828,0.004,16.23,0.01,16.35,0.0,15.97,0.01,15.414,15.164,15.033,0.039,0.071,0.09
J061914.80+241840.8,94.811693,24.311348,15.457,0.051,15.784,0.124,15.707,0.176,II,CBe,,,19.564,0.031,17.791,0.005,17.15,0.02,17.26,0.01,16.75,0.02,16.059,15.784,15.707,0.07,0.124,0.176
J061736.43+245145.3,94.40181,24.862611,14.643,0.036,14.911,0.057,14.76,0.076,II,CBe,,,18.096,0.013,16.485,0.004,15.93,0.01,16.04,0.0,15.66,0.01,15.148,14.911,14.76,0.041,0.057,0.076
J061945.56+242346.2,94.939854,24.396167,14.433,0.033,14.681,0.055,14.554,0.071,II,CBe,,,18.771,0.019,16.872,0.004,16.02,0.01,16.19,0.0,15.62,0.01,14.851,14.681,14.554,0.033,0.055,0.071
J061928.99+242428.6,94.870819,24.407964,14.801,0.037,14.857,0.061,14.673,0.082,II,CBe,,,19.265,0.025,17.582,0.005,16.46,0.01,16.71,0.01,16.06,0.01,15.239,14.857,14.673,0.043,0.061,0.082
J061906.60+241435.4,94.777513,24.243177,14.478,0.032,14.592,0.045,14.48,0.059,II,CBe,,,17.67,0.011,16.381,0.004,15.7,0.01,15.89,0.0,15.44,0.01,14.818,14.592,14.48,0.032,0.045,0.059
J060323.31+240105.0,90.847153,24.018062,15.259,0.044,15.424,0.099,15.416,0.159,II,CBe,,,19.822,0.036,18.122,0.006,17.05,0.02,17.27,0.01,16.62,0.01,15.601,15.424,15.416,0.058,0.099,0.159
J060536.91+233540.5,91.403809,23.594607,15.379,0.05,15.466,0.103,15.22,0.129,II,CBe,,,18.985,0.023,17.438,0.005,16.68,0.01,16.84,0.01,16.37,0.01,15.663,15.466,15.22,0.06,0.103,0.129
J060508.89+233200.0,91.287077,23.533347,15.189,0.046,15.218,0.072,15.166,0.114,II,CBe,,,18.963,0.023,17.233,0.004,16.54,0.01,16.67,0.0,16.23,0.01,15.527,15.218,15.166,0.053,0.072,0.114
J060357.65+233607.4,90.990249,23.602062,14.505,0.033,14.609,0.055,14.65,0.088,II,CBe,,,17.835,0.012,16.608,0.004,15.77,0.01,16.0,0.0,15.51,0.01,14.882,14.609,14.65,0.034,0.055,0.088
J060449.78+234100.3,91.207452,23.683433,14.662,0.036,14.843,0.062,14.789,0.09,II,CBe,,,17.961,0.013,16.653,0.004,15.88,0.01,16.1,0.0,15.64,0.01,14.905,14.843,14.789,0.038,0.062,0.09
J060427.38+233114.1,91.114115,23.520611,14.826,0.038,14.905,0.076,14.852,0.103,II,CBe,,,18.508,0.017,17.062,0.004,16.19,0.01,16.42,0.0,15.9,0.01,15.119,14.905,14.852,0.045,0.076,0.103
J060449.46+233145.6,91.206097,23.529356,14.431,0.032,14.578,0.066,14.314,0.077,II,CBe,,,18.0,0.013,16.558,0.004,15.74,0.01,15.94,0.0,15.48,0.01,14.771,14.578,14.314,0.034,0.066,0.077
J061119.29+235747.2,92.830408,23.963127,14.664,0.035,14.839,0.051,14.72,0.078,II,CBe,,,18.541,0.017,16.935,0.004,16.12,0.01,16.29,0.0,15.94,0.01,15.191,14.839,14.72,0.044,0.051,0.078
J060755.65+234617.3,91.981891,23.771488,15.137,0.044,15.619,0.116,15.497,0.146,II,CBe,,,18.348,0.016,16.887,0.004,16.41,0.01,16.5,0.0,16.19,0.01,15.801,15.619,15.497,0.065,0.116,0.146
J060538.89+240728.6,91.412068,24.124631,15.102,0.039,15.366,0.083,15.35,0.139,II,CBe,,,19.623,0.031,17.894,0.006,16.85,0.01,17.08,0.01,16.5,0.01,15.543,15.366,15.35,0.051,0.083,0.139
J060249.43+320604.9,90.705959,32.101385,13.135,0.025,13.367,0.021,13.256,0.026,II,CBe,,,15.996,0.005,14.593,0.004,14.07,0.0,14.23,0.0,13.92,0.0,13.449,13.367,13.256,0.021,0.021,0.026
J054832.72+202644.3,87.136344,20.44564,13.946,0.03,14.207,0.047,14.11,0.051,II,CBe,,,18.21,0.014,16.41,0.004,15.64,0.0,15.77,0.0,15.31,0.0,14.503,14.207,14.11,0.035,0.047,0.051
J054936.01+203904.6,87.400066,20.651292,13.575,0.028,13.707,0.032,13.625,0.035,II,CBe,,,16.247,0.006,15.138,0.004,14.55,0.0,14.79,0.0,14.41,0.0,13.851,13.707,13.625,0.027,0.032,0.035
J055107.87+203551.8,87.782821,20.597747,13.711,0.027,14.012,0.034,13.865,0.044,II,CBe,,,17.787,0.011,16.048,0.003,15.33,0.01,15.45,0.0,15.0,0.0,14.254,14.012,13.865,0.028,0.034,0.044
J055010.84+203427.2,87.54519,20.57424,13.461,0.029,13.718,0.06,13.585,0.046,II,CBe,,,17.68,0.011,15.931,0.004,15.13,0.01,15.29,0.0,14.75,0.0,13.935,13.718,13.585,0.041,0.06,0.046
J055017.33+204713.0,87.572249,20.786969,13.98,0.028,14.156,0.038,14.091,0.042,II,CBe,,,17.387,0.009,15.789,0.004,15.27,0.01,15.38,0.0,15.03,0.0,14.434,14.156,14.091,0.026,0.038,0.042
J055226.57+220420.2,88.110739,22.072301,13.394,0.025,13.541,0.021,13.488,0.032,II,CBe,,,16.844,0.008,15.363,0.004,14.69,0.0,14.88,0.0,14.46,0.0,13.819,13.541,13.488,0.024,0.021,0.032
