ID,RAJ2000,DEJ2000,w1,w1_err,h,h_err,k,k_err,Halpha_type,objtype_Hou,objtype_SIMBAD,Fe_type,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag
J063416.35+023030.2,98.568135,2.5083942,11.916,0.054,12.072,0.024,12.003,0.027,I,CBe,,,14.68,0.01,14.28,0.0,13.33,0.0,13.47,0.0,12.99,0.01,12.347,12.072,12.003,0.023,0.024,0.027
J063432.90+015513.7,98.637124,1.9204795,9.898,0.023,10.448,0.026,10.132,0.024,I,CBe,,,,,,,,,13.69,0.0,12.88,0.0,11.247,10.448,10.132,0.027,0.026,0.024
J063432.90+015513.7,98.637124,1.9204795,9.898,0.023,10.448,0.026,10.132,0.024,I,CBe,,,,,,,,,13.69,0.0,12.88,0.0,11.247,10.448,10.132,0.027,0.026,0.024
J064125.63+023103.7,100.35682,2.5177049,10.87,0.023,10.922,0.021,10.916,0.021,II,CBe,Star,,,,,,,,,,,,11.052,10.922,10.916,0.024,0.021,0.021
J063547.76+023035.5,98.949016,2.5098673,12.068,0.023,12.198,0.022,12.17,0.024,II,CBe,,,13.86,0.01,13.86,0.0,13.17,0.01,,,,,12.462,12.198,12.17,0.023,0.022,0.024
J063546.82+022055.9,98.945109,2.348867,11.798,0.025,12.084,0.027,11.889,0.024,II,CBe,,,,,14.48,0.0,13.42,0.01,13.64,0.01,13.1,0.01,12.363,12.084,11.889,0.024,0.027,0.024
J063600.04+022622.4,99.000186,2.439577,11.599,0.023,11.916,,11.868,0.034,II,CBe,,,13.68,0.01,13.35,0.0,,,,,,,12.019,11.916,11.868,,,0.034
J063540.33+022549.8,98.91806,2.4305098,10.828,0.022,11.16,0.023,10.974,0.019,II,CBe,,,14.96,0.01,14.1,0.0,12.96,0.01,,,,,11.466,11.16,10.974,0.022,0.023,0.019
J063616.32+022504.1,99.068009,2.4178245,12.109,0.024,12.345,0.022,12.296,0.024,II,CBe,,,14.65,0.01,14.26,0.0,,,13.63,0.01,13.26,0.02,12.575,12.345,12.296,0.023,0.022,0.024
J063600.04+022622.4,99.000186,2.439577,11.599,0.023,11.916,,11.868,0.034,II,CBe,,,13.68,0.01,13.35,0.0,,,,,,,12.019,11.916,11.868,,,0.034
J063540.33+022549.8,98.91806,2.4305098,10.828,0.022,11.16,0.023,10.974,0.019,II,CBe,,,14.96,0.01,14.1,0.0,12.96,0.01,,,,,11.466,11.16,10.974,0.022,0.023,0.019
J063616.32+022504.1,99.068009,2.4178245,12.109,0.024,12.345,0.022,12.296,0.024,II,CBe,,,14.65,0.01,14.26,0.0,,,13.63,0.01,13.26,0.02,12.575,12.345,12.296,0.023,0.022,0.024
J063636.82+021301.9,99.153426,2.217215,11.044,0.022,11.198,0.025,11.117,0.023,II,CBe,,,,,,,11.94,0.0,,,,,11.338,11.198,11.117,0.026,0.025,0.023
J063238.79+013410.5,98.161654,1.5696021,11.43,0.023,11.747,0.031,11.622,0.029,IV,CBe,,,,,,,,,12.88,0.0,12.63,0.0,11.92,11.747,11.622,0.027,0.031,0.029
J063922.10+021541.1,99.842121,2.2614222,12.167,0.023,12.36,0.022,12.208,0.021,VI,CBe,,,14.39,0.01,14.0,0.0,13.3,0.01,13.43,0.01,13.09,0.02,12.506,12.36,12.208,0.026,0.022,0.021
J063535.19+013958.4,98.896642,1.6662237,12.329,0.023,12.469,0.029,12.387,0.024,VI,CBe,,,14.21,0.01,14.26,0.0,13.4,0.01,13.62,0.01,13.26,0.01,12.703,12.469,12.387,0.027,0.029,0.024
J063435.34+023210.5,98.647278,2.5362503,12.014,0.025,12.337,0.025,12.147,0.026,II,HII-region,,,14.87,0.01,14.68,0.0,13.72,0.02,13.87,0.01,13.37,0.01,12.553,12.337,12.147,0.026,0.025,0.026
J063435.34+023210.5,98.647278,2.5362503,12.014,0.025,12.337,0.025,12.147,0.026,II,HII-region,,,14.87,0.01,14.68,0.0,13.72,0.02,13.87,0.01,13.37,0.01,12.553,12.337,12.147,0.026,0.025,0.026
J063536.56+023113.7,98.902366,2.5204741,12.399,0.024,12.67,0.022,12.599,0.026,II,HII-region,,,14.73,0.01,14.55,0.0,13.75,0.01,13.89,0.01,13.48,0.01,12.911,12.67,12.599,0.023,0.022,0.026
J063530.73+022714.8,98.878067,2.4541219,11.597,0.022,11.809,0.025,11.694,0.023,II,HII-region,,,14.43,0.01,13.85,0.0,13.07,0.01,,,,,12.001,11.809,11.694,0.023,0.025,0.023
J063447.77+022527.8,98.699065,2.4244091,11.773,0.023,12.058,0.029,11.932,0.029,II,HII-region,White Dwarf Candidate,,14.87,0.01,14.33,0.0,13.48,0.01,13.58,0.01,13.06,0.02,12.287,12.058,11.932,0.026,0.029,0.029
J063515.95+023204.3,98.816481,2.5345443,11.676,0.022,11.846,0.022,11.737,0.021,II,HII-region,,,,,14.13,0.0,13.09,0.02,13.29,0.01,12.81,0.01,12.134,11.846,11.737,0.023,0.022,0.021
J063428.87+022702.9,98.620329,2.450812,10.387,0.023,10.652,0.022,10.501,0.021,II,HII-region,,,,,13.31,0.0,12.16,0.01,,,,,10.885,10.652,10.501,0.026,0.022,0.021
J063312.96+022935.6,98.304008,2.493231,10.825,0.023,11.002,0.022,10.921,0.021,II,HII-region,,,,,,,12.07,0.0,12.3,0.0,11.78,0.0,11.215,11.002,10.921,0.022,0.022,0.021
J063532.89+022916.6,98.887069,2.487946,11.766,0.022,12.125,0.025,11.921,0.027,II,HII-region,,,16.26,0.01,15.35,0.0,14.1,0.01,14.27,0.0,13.64,0.01,12.468,12.125,11.921,0.024,0.025,0.027
J063530.73+022714.8,98.878067,2.4541219,11.597,0.022,11.809,0.025,11.694,0.023,II,HII-region,,,14.43,0.01,13.85,0.0,13.07,0.01,,,,,12.001,11.809,11.694,0.023,0.025,0.023
J063459.47+021825.5,98.747821,2.307109,11.136,0.023,11.275,0.026,11.229,0.023,II,HII-region,,,,,,,,,,,,,11.427,11.275,11.229,0.027,0.026,0.023
J063408.31+021632.9,98.534643,2.2758239,11.552,0.023,11.782,0.027,11.684,0.026,II,HII-region,,,,,,,13.02,0.0,13.19,0.0,12.8,0.0,11.987,11.782,11.684,0.026,0.027,0.026
J063321.51+023231.5,98.33966,2.5420914,11.825,0.023,12.044,0.022,11.896,0.021,II,HII-region,,,,,,,13.4,0.0,13.57,0.0,13.04,0.0,12.264,12.044,11.896,0.021,0.022,0.021
J063340.62+023213.5,98.419251,2.537107,11.226,0.023,11.404,0.023,11.339,0.023,II,HII-region,Star in Cluster,,,,,,12.06,0.0,12.15,0.0,11.82,0.0,11.499,11.404,11.339,0.024,0.023,0.023
J063536.56+023113.7,98.902366,2.5204741,12.399,0.024,12.67,0.022,12.599,0.026,II,HII-region,,,14.73,0.01,14.55,0.0,13.75,0.01,13.89,0.01,13.48,0.01,12.911,12.67,12.599,0.023,0.022,0.026
J063317.69+023242.4,98.323744,2.5451131,12.302,0.024,12.488,0.022,12.353,0.024,II,HII-region,,,,,,,13.62,0.0,13.8,0.0,13.29,0.0,12.635,12.488,12.353,0.021,0.022,0.024
J063408.31+021632.9,98.534643,2.2758239,11.552,0.023,11.782,0.027,11.684,0.026,II,HII-region,,,,,,,13.02,0.0,13.19,0.0,12.8,0.0,11.987,11.782,11.684,0.026,0.027,0.026
J063405.49+021813.4,98.522899,2.3037255,11.214,0.024,11.478,0.024,11.336,0.024,II,HII-region,,,,,,,13.03,0.0,13.23,0.0,12.77,0.0,11.769,11.478,11.336,0.026,0.024,0.024
J063519.85+022123.5,98.832739,2.3565351,11.076,0.023,11.393,0.024,11.215,0.019,IV,HII-region,,,,,14.68,0.01,13.24,0.01,13.58,0.01,12.87,0.01,11.736,11.393,11.215,0.026,0.024,0.019
J064203.69+022430.1,100.51541,2.408383,,,,,,,II,unknown,Star,,,,13.05,0.0,,,,,,,11.574,11.401,11.386,0.034,0.025,0.03
J055237.62+205245.3,88.156786,20.879262,15.045,0.039,15.323,0.068,15.107,0.106,II,unknown,,,18.361,0.015,16.797,0.004,16.39,0.01,16.48,0.0,16.1,0.01,15.378,15.323,15.107,0.04,0.068,0.106
J055201.93+211311.6,88.008048,21.21989,14.932,0.037,15.666,0.101,15.155,0.129,II,unknown,,,18.751,0.019,17.357,0.005,16.69,0.01,16.85,0.0,16.42,0.01,15.734,15.666,15.155,0.061,0.101,0.129
J060528.79+221349.0,91.369959,22.230281,,,,,,,II,unknown,,,19.228,0.025,17.58,0.005,16.68,0.01,16.82,0.0,16.35,0.01,15.565,15.18,15.269,0.053,0.075,0.126
J055959.11+214339.8,89.996295,21.727737,14.332,0.032,14.85,0.08,14.427,0.066,II,unknown,,,21.2,0.09,18.754,0.009,17.27,0.01,17.53,0.01,16.66,0.01,15.178,14.85,14.427,0.049,0.08,0.066
J055757.29+235046.1,89.488723,23.846145,,,,,,,II,unknown,,,19.541,0.035,17.875,0.006,16.89,0.01,17.05,0.0,16.48,0.01,15.48,15.266,15.041,0.046,0.077,0.114
J054746.52+214406.4,86.943841,21.735135,15.849,0.057,16.075,0.179,15.608,,II,unknown,,,19.32,0.027,17.91,0.006,17.32,0.01,17.46,0.01,17.06,0.01,16.641,16.075,15.608,0.128,0.179,
J060312.82+240756.5,90.803439,24.132369,,,,,,,II,unknown,,,18.852,0.022,17.029,0.004,15.94,0.01,16.18,0.0,15.52,0.01,14.584,14.155,14.035,0.031,,
J060418.73+230817.9,91.078053,23.138309,14.98,0.044,15.466,0.12,15.19,0.136,II,unknown,,,19.546,0.03,17.889,0.006,16.92,0.02,17.14,0.01,16.54,0.01,15.61,15.466,15.19,0.062,0.12,0.136
J060149.56+233213.8,90.456538,23.537176,14.376,0.032,14.777,0.069,14.456,0.054,II,unknown,,,20.062,0.04,17.939,0.006,16.67,0.01,16.92,0.01,16.16,0.01,15.059,14.777,14.456,0.045,0.069,0.054
J060453.69+232439.2,91.223728,23.410898,,,,,,,II,unknown,,,18.901,0.022,17.163,0.004,16.3,0.01,16.49,0.0,15.97,0.01,15.145,15.066,14.655,0.043,0.069,0.069
J054250.54+305711.0,85.710587,30.953062,14.207,0.031,15.077,0.064,15.019,0.107,II,unknown,,,20.182,0.047,18.241,0.007,17.04,0.01,17.27,0.01,16.61,0.01,15.619,15.077,15.019,0.053,0.064,0.107
J060751.51+234839.6,91.96463,23.811016,14.826,0.038,15.09,0.069,14.769,0.078,II,unknown,,,17.077,0.009,15.9,0.004,15.38,0.01,15.51,0.0,15.25,0.01,14.986,15.09,14.769,0.036,0.069,0.078
J060628.33+231126.1,91.618044,23.190588,,,,,,,II,unknown,,,18.746,0.019,17.033,0.004,16.3,0.01,16.44,0.0,15.99,0.01,15.364,15.068,14.976,0.045,0.065,0.092
J060517.44+220741.8,91.322677,22.128305,15.652,0.056,15.587,0.104,15.227,0.12,II,unknown,,,19.333,0.026,17.685,0.005,16.88,0.01,17.0,0.01,16.55,0.01,15.758,15.587,15.227,0.055,0.104,0.12
J060409.44+240353.4,91.039362,24.06486,15.192,0.048,15.86,0.144,15.273,0.138,II,unknown,,,19.189,0.024,17.573,0.005,16.79,0.01,16.94,0.01,16.5,0.01,15.92,15.86,15.273,0.07,0.144,0.138
J054318.22+210903.6,85.825934,21.151019,,,,,,,II,unknown,,,19.784,0.033,17.809,0.006,16.72,0.01,16.96,0.01,16.3,0.01,15.236,15.025,14.831,0.06,0.08,0.108
J054308.67+205610.2,85.78615,20.936187,15.418,0.046,15.662,0.143,15.201,0.171,II,unknown,,,19.535,0.028,17.766,0.006,16.88,0.02,17.1,0.01,16.53,0.01,15.747,15.662,15.201,0.081,0.143,0.171
J054922.62+213528.5,87.344291,21.591274,,,,,,,II,unknown,,,18.502,0.017,16.929,0.005,16.46,0.01,16.56,0.0,16.23,0.01,15.67,15.464,15.231,0.051,0.08,0.13
J055211.07+214957.7,88.046152,21.83272,,,,,,,II,unknown,,,19.188,0.026,17.479,0.005,16.86,0.01,16.99,0.01,16.55,0.01,15.701,15.523,15.368,0.053,0.084,0.151
J055104.11+214853.2,87.767136,21.814782,,,,,,,II,unknown,,,19.428,0.029,17.78,0.005,16.72,0.01,16.99,0.0,16.38,0.01,15.437,14.949,14.98,0.05,0.048,0.088
J055125.78+213330.6,87.857434,21.558511,,,,,,,II,unknown,,,19.381,0.027,17.71,0.005,16.92,0.01,17.11,0.01,16.65,0.01,15.773,15.662,15.31,0.068,0.172,0.17
J055224.20+221022.4,88.100861,22.172911,,,,,,,II,unknown,,,18.148,0.015,16.635,0.004,15.88,0.01,16.07,0.0,15.59,0.01,14.774,14.559,14.475,0.034,0.055,0.067
J055209.41+220455.1,88.039211,22.081976,,,,,,,II,unknown,,,19.896,0.04,18.051,0.006,17.02,0.01,17.27,0.01,16.69,0.01,15.859,15.44,15.138,0.057,0.084,0.12
J055008.80+214940.4,87.536692,21.827914,,,,,,,II,unknown,,,19.87,0.038,18.27,0.007,17.04,0.01,17.31,0.01,16.68,0.01,15.82,15.384,15.277,0.054,0.095,0.125
J054926.86+214924.7,87.361932,21.823537,,,,,,,II,unknown,,,18.564,0.017,16.968,0.004,16.44,0.01,16.53,0.0,16.17,0.01,15.57,15.382,15.374,0.056,0.073,0.132
J054559.73+211735.5,86.498912,21.293197,,,,,,,II,unknown,,,19.838,0.039,18.016,0.006,16.96,0.01,17.18,0.01,16.68,0.01,15.923,15.501,15.686,0.072,0.137,0.201
J054522.63+204042.1,86.344311,20.678378,,,,,,,II,unknown,,,17.885,0.012,16.782,0.005,16.06,0.01,16.25,0.0,15.85,0.01,15.212,15.009,14.948,0.042,0.078,0.104
J054515.11+203655.3,86.312984,20.615372,,,,,,,II,unknown,,,19.075,0.022,17.374,0.005,16.39,0.01,16.61,0.0,16.09,0.01,15.221,14.854,14.661,0.047,0.073,0.083
J054740.01+211707.9,86.916743,21.285549,,,,,,,II,unknown,,,20.096,0.044,18.175,0.006,17.03,0.01,17.27,0.01,16.65,0.01,15.842,15.615,15.3,0.074,0.136,0.133
J054742.11+205017.8,86.925479,20.838284,14.546,0.033,14.987,0.069,14.643,0.083,II,unknown,,,17.566,0.01,16.526,0.004,15.82,0.01,16.03,0.0,15.67,0.01,15.072,14.987,14.643,0.047,0.069,0.083
J054340.21+215345.1,85.917571,21.895874,,,,,,,II,unknown,,,19.533,0.032,17.732,0.006,16.85,0.01,17.05,0.01,16.63,0.01,15.784,15.4,15.308,0.066,0.103,0.148
J054348.52+213545.4,85.952199,21.595961,15.633,0.051,15.878,0.153,15.558,,II,unknown,,,18.559,0.018,17.368,0.005,16.73,0.01,16.91,0.0,16.57,0.01,15.945,15.878,15.558,0.078,0.153,
J054421.68+212511.1,86.090334,21.419777,15.016,0.041,15.217,0.086,14.892,0.095,II,unknown,,,19.741,0.035,17.798,0.006,16.88,0.01,17.04,0.01,16.46,0.01,15.566,15.217,14.892,0.055,0.086,0.095
J052339.09+280623.4,80.912887,28.1065259,13.968,0.028,14.17,,14.121,0.048,II,unknown,,,17.107,0.008,15.782,0.004,15.15,0.0,15.32,0.0,14.88,0.0,14.321,14.17,14.121,0.028,,0.048
J055037.79+302110.4,87.657483,30.352914,15.568,0.05,15.882,0.179,15.088,,II,unknown,,,19.409,0.025,17.678,0.005,17.05,0.01,17.18,0.01,16.66,0.01,15.849,15.882,15.088,0.086,0.179,
J055118.00+293222.3,87.825003,29.539546,,,,,,,II,unknown,,,19.262,0.022,17.454,0.005,16.57,0.01,16.76,0.01,16.23,0.01,15.478,15.143,15.164,0.054,0.089,0.138
J054906.24+312724.5,87.276019,31.456826,,,,,,,II,unknown,,,18.273,0.015,16.701,0.005,16.07,0.01,16.2,0.01,15.77,0.01,15.199,14.877,14.955,0.04,0.059,0.118
J054701.98+313926.6,86.758288,31.657411,15.202,0.044,15.321,0.097,15.023,0.127,II,unknown,,,18.627,0.019,17.07,0.005,16.35,0.01,16.56,0.01,16.06,0.01,15.355,15.321,15.023,0.047,0.097,0.127
J061219.31+251253.1,93.080492,25.214769,15.199,0.042,15.455,0.093,15.048,0.091,II,unknown,,,18.148,0.014,16.536,0.004,16.13,0.01,16.28,0.0,15.96,0.01,15.403,15.455,15.048,0.039,0.093,0.091
J054452.61+201339.7,86.219239,20.227707,,,,,,,II,unknown,,,19.249,0.027,17.549,0.005,16.9,0.01,17.05,0.0,16.58,0.01,15.969,15.601,15.521,0.075,0.131,0.17
J054750.41+201626.6,86.960056,20.274079,,,,,,,II,unknown,,,18.814,0.021,17.066,0.004,16.33,0.01,16.47,0.0,16.05,0.01,15.456,14.985,15.01,0.064,0.072,0.104
J052638.36+281510.4,81.65984,28.252902,15.784,0.059,15.593,0.124,16.596,,II,unknown,,,19.384,0.029,17.843,0.006,17.16,0.01,17.32,0.01,16.87,0.01,16.123,15.593,16.596,0.067,0.124,
J052828.57+284018.4,82.119051,28.671796,15.159,0.04,15.543,0.104,15.151,0.134,II,unknown,,,19.136,0.023,17.679,0.005,16.86,0.01,17.07,0.01,16.53,0.01,15.835,15.543,15.151,0.062,0.104,0.134
J052324.13+283647.8,80.850567,28.613282,,,,,,,II,unknown,,,19.864,0.031,18.174,0.006,17.59,0.02,17.72,0.01,17.29,0.02,16.616,16.304,15.658,0.131,0.218,
J052341.89+291939.1,80.924543,29.327542,,,,,,,II,unknown,,,18.89,0.022,17.338,0.005,16.8,0.01,16.92,0.01,16.53,0.01,15.928,15.708,15.664,0.071,0.115,0.154
J053148.06+291444.6,82.95025,29.245749,,,,,,,II,unknown,,,19.803,0.029,17.862,0.006,16.91,0.01,17.11,0.01,16.51,0.01,15.635,15.252,15.106,0.048,0.084,0.113
J055305.07+220306.4,88.271165,22.051802,14.162,0.036,14.666,0.047,14.38,0.061,II,unknown,,,18.032,0.014,16.359,0.004,15.74,0.01,15.85,0.0,15.42,0.01,14.741,14.666,14.38,0.032,0.047,0.061
J054618.27+210714.9,86.576156,21.120828,,,,,,,II,unknown,,,19.119,0.024,17.439,0.005,16.73,0.01,16.88,0.0,16.44,0.01,15.728,15.444,15.654,0.069,0.107,0.189
J055147.84+212149.9,87.949373,21.363863,,,,,,,II,unknown,,,19.351,0.027,17.592,0.005,16.79,0.01,16.98,0.0,16.47,0.01,15.65,15.463,15.347,0.055,0.069,0.152
J054801.60+213120.2,87.0067,21.52229,15.223,0.045,15.418,0.094,15.124,0.106,II,unknown,,,18.211,0.015,16.723,0.004,16.17,0.01,16.3,0.0,15.97,0.01,15.501,15.418,15.124,0.056,0.094,0.106
J054931.06+214500.6,87.379437,21.75019,,,,,,,II,unknown,,,18.019,0.013,16.674,0.004,15.99,0.01,16.2,0.0,15.79,0.01,15.255,15.02,14.817,0.039,0.066,0.082
J054934.31+213742.1,87.392972,21.62838,,,,,,,II,unknown,,,18.284,0.016,16.754,0.005,16.16,0.01,16.27,0.0,15.93,0.01,15.266,15.211,14.988,0.06,0.101,0.092
J060230.54+233351.2,90.627258,23.564235,,,,,,,II,unknown,,,20.108,0.042,18.08,0.006,16.87,0.01,17.13,0.01,16.43,0.01,15.363,14.906,14.729,0.031,0.06,0.068
J060937.37+233020.9,92.405747,23.505807,,,,,,,II,unknown,,,18.8,0.019,17.154,0.005,16.51,0.01,16.66,0.0,16.38,0.01,15.576,15.445,15.252,0.055,0.098,0.116
J061802.79+243344.2,94.511661,24.562304,15.032,0.038,15.373,0.074,15.039,0.094,II,unknown,,,19.172,0.024,17.371,0.005,16.58,0.01,16.73,0.0,16.24,0.01,15.604,15.373,15.039,0.052,0.074,0.094
J060548.90+231241.4,91.453751,23.211518,,,,,,,II,unknown,,,18.938,0.021,17.101,0.004,16.16,0.01,16.34,0.0,15.82,0.01,14.928,14.681,14.543,0.042,0.055,0.077
J060509.85+235916.6,91.29106,23.987969,,,,,,,II,unknown,,,20.454,0.055,18.6,0.008,17.05,0.02,17.4,0.01,16.6,0.01,15.452,14.977,14.831,0.052,0.067,0.087
J055143.06+221104.3,87.929442,22.184555,,,,,,,II,unknown,,,18.851,0.02,17.147,0.004,16.43,0.01,16.6,0.0,16.12,0.01,15.387,15.025,14.812,0.039,0.054,0.083
J055005.68+215843.7,87.523691,21.978808,14.892,0.039,15.561,0.105,15.229,0.113,II,unknown,,,18.358,0.015,16.817,0.004,16.32,0.01,16.41,0.0,16.05,0.01,15.631,15.561,15.229,0.058,0.105,0.113
J055022.20+213137.5,87.59253,21.527087,,,,,,,II,unknown,,,19.198,0.027,17.461,0.005,16.89,0.01,16.99,0.0,16.61,0.01,15.961,15.956,15.731,0.069,0.152,0.188
J061058.38+235551.8,92.74329,23.93106,,,,,,,II,unknown,,,17.58,0.01,16.032,0.004,15.34,0.0,15.54,0.0,15.21,0.0,14.464,14.228,14.129,0.026,0.058,0.056
J052537.12+290402.9,81.404681,29.067483,15.655,0.055,15.881,0.176,15.547,0.177,II,unknown,,,18.557,0.018,17.181,0.005,16.78,0.01,16.88,0.01,16.56,0.01,15.938,15.881,15.547,0.078,0.176,0.177
J052604.18+291900.6,81.517417,29.316847,15.829,0.064,15.506,0.121,15.614,0.165,II,unknown,,,17.872,0.011,16.787,0.004,16.38,0.01,16.53,0.01,16.25,0.01,15.804,15.506,15.614,0.059,0.121,0.165
J055158.60+221514.6,87.994208,22.254083,12.609,0.027,14.027,0.092,13.628,0.08,II,unknown,,,22.918,0.966,19.636,0.029,18.46,0.03,18.94,0.02,17.72,0.02,15.065,14.027,13.628,0.078,0.092,0.08
J054526.06+300339.7,86.358611,30.061028,,,,,,,II,unknown,,,18.943,0.02,17.293,0.005,16.58,0.01,16.7,0.01,16.25,0.01,15.62,15.531,15.304,0.053,0.109,0.148
J034528.44+500326.0,56.368509,50.057241,10.056,0.023,10.981,0.024,10.641,0.023,I,CBe,Emission-line Star,double-peak,15.762,0.005,14.736,0.004,12.43,0.0,12.98,0.0,12.29,0.0,11.335,10.981,10.641,0.021,0.024,0.023
J035614.13+522603.1,59.058908,52.434199,10.04,0.023,10.575,0.032,10.259,0.022,I,CBe,Emission-line Star,,15.302,0.007,15.793,0.012,11.88,0.0,12.68,0.0,11.91,0.0,10.899,10.575,10.259,0.027,0.032,0.022
J053307.98+284749.2,83.28325,28.797,13.214,0.025,13.836,0.022,13.609,0.036,I,CBe,,,17.713,0.011,16.449,0.005,15.17,0.0,15.63,0.0,14.97,0.0,14.133,13.836,13.609,0.026,0.022,0.036
J052831.75+271146.6,82.132292,27.196278,13.154,0.026,13.65,0.031,13.406,0.032,I,CBe,,,16.526,0.006,15.552,0.003,14.55,0.0,15.04,0.0,14.59,0.0,13.874,13.65,13.406,0.026,0.031,0.032
J065524.38+061235.8,103.85162,6.209945,11.659,0.022,11.856,0.024,11.767,0.026,I,CBe,,,16.991,0.008,14.926,0.003,13.66,0.0,14.01,0.0,13.39,0.0,12.396,11.856,11.767,0.024,0.024,0.026
J055342.76+215223.3,88.428167,21.873139,12.943,0.024,13.37,0.026,13.265,0.028,I,CBe,,,15.564,0.005,14.665,0.003,14.03,0.0,14.41,0.0,14.09,0.0,13.516,13.37,13.265,0.024,0.026,0.028
J054955.18+325006.9,87.479917,32.83525,12.488,0.024,12.921,0.023,12.645,0.026,I,CBe,,,17.658,0.011,16.02,0.004,14.53,0.0,15.08,0.0,14.33,0.0,13.294,12.921,12.645,0.023,0.023,0.026
J052850.94+272112.0,82.212254,27.353348,12.877,0.025,13.3,0.031,13.137,0.03,I,CBe,,,16.455,0.006,15.157,0.003,14.19,0.0,14.57,0.0,14.13,0.0,13.467,13.3,13.137,0.024,0.031,0.03
J052831.75+271146.6,82.132292,27.196278,13.154,0.026,13.65,0.031,13.406,0.032,I,CBe,,,16.526,0.006,15.552,0.003,14.55,0.0,15.04,0.0,14.59,0.0,13.874,13.65,13.406,0.026,0.031,0.032
J055352.81+222544.5,88.470081,22.429046,11.247,0.024,11.716,0.021,11.386,0.019,I,CBe,,unclassify,15.693,0.006,14.806,0.004,12.83,0.0,13.52,0.0,12.96,0.0,12.013,11.716,11.386,0.022,0.021,0.019
J055352.81+222544.5,88.470081,22.429046,11.247,0.024,11.716,0.021,11.386,0.019,I,CBe,,,15.693,0.006,14.806,0.004,12.83,0.0,13.52,0.0,12.96,0.0,12.013,11.716,11.386,0.022,0.021,0.019
J061658.93+251525.8,94.245542,25.257194,12.323,0.024,12.636,0.023,12.489,0.024,I,CBe,,double-peak,15.268,0.005,14.549,0.011,13.25,0.0,13.65,0.0,13.33,0.0,12.782,12.636,12.489,0.021,0.023,0.024
J061658.92+251525.8,94.245504,25.257169,12.323,0.024,12.636,0.023,12.489,0.024,I,CBe,,,15.268,0.005,14.549,0.011,13.25,0.0,13.65,0.0,13.33,0.0,12.782,12.636,12.489,0.021,0.023,0.024
J061036.48+241848.1,92.652009,24.313367,11.482,0.024,11.903,0.022,11.737,0.021,I,CBe,,double-peak,14.487,0.004,14.61,0.009,12.6,0.0,12.86,0.0,12.62,0.0,12.059,11.903,11.737,0.021,0.022,0.021
J041544.67+534956.0,63.936129,53.832225,11.783,0.025,12.215,0.019,12.088,0.023,I,CBe,,,16.077,0.006,14.715,0.004,13.42,0.0,13.86,0.0,13.32,0.0,12.495,12.215,12.088,0.026,0.019,0.023
J055342.75+215223.3,88.428156,21.873148,12.943,0.024,13.37,0.026,13.265,0.028,I,CBe,,,15.564,0.005,14.665,0.003,14.03,0.0,14.41,0.0,14.09,0.0,13.516,13.37,13.265,0.024,0.026,0.028
J061658.93+251525.8,94.245542,25.257194,12.323,0.024,12.636,0.023,12.489,0.024,I,CBe,,,15.268,0.005,14.549,0.011,13.25,0.0,13.65,0.0,13.33,0.0,12.782,12.636,12.489,0.021,0.023,0.024
J055820.80+225246.0,89.586701,22.879454,11.158,0.023,12.017,0.021,11.563,0.019,I,CBe,,unclassify,16.877,0.008,15.644,0.003,13.92,0.0,14.61,0.0,13.76,0.0,12.466,12.017,11.563,0.025,0.021,0.019
J052424.76+284657.0,81.1031896,28.7825194,15.316,0.045,15.354,0.098,15.316,0.155,II,CBe,,,18.386,0.014,16.88,0.004,16.39,0.01,16.53,0.01,16.16,0.01,15.518,15.354,15.316,0.056,0.098,0.155
J052430.75+281910.7,81.1281562,28.3196539,14.536,0.033,14.624,0.055,14.476,0.055,II,CBe,,,17.401,0.009,15.974,0.004,15.53,0.01,15.63,0.0,15.27,0.0,14.767,14.624,14.476,0.031,0.055,0.055
J053411.98+290903.2,83.54995,29.150907,15.449,0.047,15.83,0.12,15.471,0.146,II,CBe,,,23.028,0.3,21.13,0.033,18.89,0.04,19.33,0.04,18.29,0.03,16.676,15.83,15.471,0.112,0.12,0.146
J052444.26+270554.7,81.184422,27.098537,15.064,0.042,15.229,0.084,15.081,0.106,II,CBe,,,18.866,0.019,17.298,0.005,16.49,0.01,16.64,0.01,16.15,0.01,15.448,15.229,15.081,0.055,0.084,0.106
J052444.12+291027.8,81.183846,29.174399,15.218,0.043,15.34,0.088,15.253,0.117,II,CBe,,,17.976,0.012,16.724,0.004,16.17,0.01,16.34,0.01,16.01,0.01,15.538,15.34,15.253,0.053,0.088,0.117
J052424.76+284657.0,81.103179,28.782524,15.316,0.045,15.354,0.098,15.316,0.155,II,CBe,,,18.386,0.014,16.88,0.004,16.39,0.01,16.53,0.01,16.16,0.01,15.518,15.354,15.316,0.056,0.098,0.155
J052208.84+275108.4,80.536857,27.852361,14.584,0.034,14.737,0.053,14.593,0.069,II,CBe,,,19.603,0.029,17.751,0.006,16.7,0.01,16.95,0.01,16.33,0.01,15.17,14.737,14.593,0.042,0.053,0.069
J052043.56+275934.5,80.18152,27.992935,15.235,0.043,15.446,0.081,15.184,0.095,II,CBe,,,19.793,0.036,17.999,0.006,17.09,0.01,17.29,0.01,16.74,0.01,15.845,15.446,15.184,0.05,0.081,0.095
